mae,mape,rmse,r2,bias,seed
3.293953398925782,2.9710836499558995,4.035003796366856,0.9757484570318835,0.05613011083984077,0
4.323049220214843,3.990176397035567,5.739502204539964,0.9543570825041343,1.988123671386717,1
3.2711183325195274,2.992141144155358,4.437101063235327,0.9752185270499912,1.6835613940429681,2
5.414794100097655,5.258564518007421,6.259396553758902,0.9329311996934978,0.3121075874023407,3
4.333169468261718,4.023921162652808,5.236684048597168,0.9329519731340158,-0.714966145019535,4
5.255463547119141,6.353038608671404,6.778581513622436,0.9522161504252526,-1.4050040539550814,5
2.822305941894531,2.564173360480027,3.6269812843119897,0.9765475905123148,0.7027530229492175,6
3.107731601074218,3.0019402913865876,4.0113729139826475,0.9768197438349409,1.2174617163085935,7
3.6183550175781214,3.3074118223869977,4.724123542433817,0.9599660183390595,0.9604837451171875,8
5.433139900390627,5.075610122465876,6.031885539047161,0.9237839399870319,-0.052583318359377816,9
3.3338161347656246,3.2134279908566072,4.135743018406246,0.9694089401369224,-0.11934056542969017,10
4.7759764013671875,4.353039521748489,5.934952972449969,0.9524774229019423,0.3909612578125001,11
3.54443001074219,3.224451158537255,4.373064841726103,0.9729975139462913,0.4596299892578105,12
3.467958993164062,3.3831954188319835,4.092628644118881,0.9704622474757041,1.2300758701171883,13
4.949819331298826,5.208175276065089,5.867903359358185,0.9391888652320135,-2.1449665187988303,14
4.9330739887695305,5.6886143752647245,5.986322904979657,0.9539831572357191,-0.3199030004882829,15
5.13523060546875,5.200179577496036,6.184289663582159,0.96001663378628,1.1413543984374983,16
5.135612792480467,4.8340751969880555,6.175302712812718,0.9617018701660482,0.8193727377929676,17
3.4884511730957017,3.7693000441309623,4.85974588376601,0.9694399387061643,0.23904745678710954,18
4.5082889755859386,4.340295422449738,5.4040672809244725,0.9622829882257573,0.8484262519531225,19
4.536812429687498,4.440548747673387,5.335790868025834,0.9580998823616341,-0.7944317929687505,20
5.974021125488282,5.885746184132256,7.165931154606491,0.9550398176648532,3.7121200717773433,21
3.36166878076172,3.17453716426134,4.155185356245781,0.9765541807380116,-0.7065343569335951,22
3.0717307866210963,3.4326977129045892,4.716633389966161,0.9751960230452194,0.2486431831054662,23
5.116494311523438,5.059338430650235,6.041580271208476,0.9676700336633933,0.5792483857421854,24
6.008042378906248,7.291235563945015,7.401362115910373,0.9515984773474294,-0.7758437177734387,25
4.465343562500001,4.439939057412363,5.301764657332987,0.9573194705252036,1.0107027216796858,26
4.378857369140626,4.444397474815309,5.777398350118126,0.9668334477738121,-0.9178386767578135,27
5.153324937499999,6.09066376286546,7.4785976107566485,0.9529471745043142,0.017583106445311216,28
3.5131879616699218,3.1493448923258316,4.164026974961463,0.9779469857738152,0.6782122175292941,29
