mae,rmse,r2,mape_pct,n_train,n_test,seed,n_test_geom,n_train_geom,held_out_geometries
11.77119268639137,15.720687764663179,0.8936067406359379,12.39056699875577,379,95,0,8,27,G0001|G0002|G0003|G0012|G0013|G0026|G0032|G0033
8.272253925072837,12.321076818353797,0.8196369977534358,11.088113134607458,379,95,1,7,28,G0001|G0002|G0004|G0009|G0010|G0014|G0030
8.280534676736004,11.11217476534598,0.8517394896670835,11.603372107682517,379,95,2,7,28,G0001|G0002|G0004|G0009|G0011|G0013|G0014
10.345204533502175,14.812918374864715,0.9137431998540981,11.109960389006936,379,95,3,8,27,G0001|G0002|G0020|G0022|G0027|G0031|G0033|G0034
13.903567712372238,19.031258892282178,0.8474188809512008,13.475219459950601,379,95,4,9,26,G0001|G0003|G0010|G0012|G0017|G0024|G0026|G0034|G0035
9.820072358471158,12.91532950614563,0.9015235351357096,10.89981675884037,379,95,5,8,27,G0001|G0004|G0006|G0014|G0015|G0017|G0018|G0032
11.263952923457897,16.152498411730374,0.8850407621387933,11.228802666800563,379,95,6,8,27,G0001|G0005|G0015|G0017|G0020|G0023|G0027|G0032
10.851174394930343,15.181417342923979,0.8932076412535392,10.816491071255754,379,95,7,7,28,G0001|G0006|G0014|G0021|G0022|G0029|G0032
15.74389912463003,21.39272363331882,0.8013759858059261,15.075627162161368,379,95,8,9,26,G0001|G0012|G0013|G0019|G0021|G0022|G0026|G0027|G0034
11.413129429884348,18.230966040250376,0.8563710423677829,10.610173493608428,379,95,9,8,27,G0002|G0003|G0004|G0010|G0020|G0021|G0026|G0027
10.901088413554652,15.284484004805739,0.8584773488907225,11.827323283146328,379,95,10,10,25,G0002|G0003|G0004|G0012|G0014|G0017|G0022|G0023|G0026|G0034
9.041605630453626,14.167622376664221,0.9036947117469409,9.32019750784186,379,95,11,10,25,G0002|G0003|G0010|G0014|G0017|G0019|G0021|G0024|G0028|G0034
10.95367178490629,16.46780402388257,0.8655978002586093,10.347563807616812,379,95,12,11,24,G0002|G0004|G0006|G0013|G0014|G0017|G0019|G0020|G0027|G0032|G0034
12.911501843385203,17.43800985776878,0.8549378876015239,12.516008782893687,379,95,13,8,27,G0002|G0004|G0009|G0023|G0026|G0027|G0030|G0035
10.133772965602299,15.586560983382965,0.8965663608828103,8.815449941230499,379,95,14,11,24,G0002|G0004|G0014|G0017|G0021|G0026|G0027|G0028|G0031|G0033|G0034
9.027728617037898,13.812860536582384,0.9173570459657188,8.950251503585656,379,95,15,10,25,G0002|G0005|G0006|G0009|G0013|G0017|G0027|G0031|G0034|G0035
8.70827432010446,14.36892159795772,0.9061254627159073,8.769556491136612,379,95,16,10,25,G0002|G0005|G0006|G0014|G0017|G0019|G0020|G0022|G0026|G0027
8.525399702718982,12.431712452262493,0.9251346428382033,8.727587808581843,379,95,17,9,26,G0002|G0005|G0006|G0015|G0017|G0019|G0026|G0028|G0032
9.238453016706016,13.92435393280147,0.8924557171160944,10.433035407335923,379,95,18,11,24,G0002|G0005|G0009|G0010|G0013|G0014|G0017|G0020|G0022|G0027|G0034
12.438506366352826,17.85887130364157,0.8441914937812127,12.823534077073766,379,95,19,10,25,G0002|G0005|G0010|G0012|G0014|G0023|G0026|G0027|G0029|G0034
9.538940091677885,14.240305836642301,0.887858518519835,9.568139595589884,379,95,20,9,26,G0002|G0005|G0010|G0018|G0020|G0025|G0027|G0030|G0034
13.352700483715402,19.631255327653825,0.8476668867911835,11.976112453390154,379,95,21,10,25,G0002|G0005|G0014|G0015|G0017|G0028|G0030|G0032|G0033|G0035
12.522576131222497,17.97017722237401,0.8706692397858186,11.233732761973275,379,95,22,9,26,G0002|G0005|G0015|G0020|G0021|G0026|G0030|G0031|G0034
9.96896713962775,13.258832679656479,0.8381752584087317,12.979903539127191,379,95,23,8,27,G0002|G0006|G0007|G0010|G0011|G0013|G0017|G0026
10.217725627700297,14.610361833007723,0.8725986015242356,11.063162730754007,379,95,24,11,24,G0002|G0006|G0010|G0013|G0014|G0015|G0017|G0020|G0023|G0030|G0034
11.249406968638256,16.699295712110413,0.8746391264698098,10.580851041338935,379,95,25,10,25,G0002|G0006|G0010|G0015|G0017|G0020|G0022|G0027|G0032|G0034
11.35834871339843,16.050047665074025,0.8712529666676907,10.815022769231195,379,95,26,10,25,G0002|G0006|G0013|G0014|G0022|G0023|G0026|G0027|G0031|G0032
13.662396221094822,20.51521847566506,0.8113451289252297,10.668638536982812,379,95,27,10,25,G0002|G0006|G0013|G0014|G0027|G0030|G0031|G0032|G0033|G0035
13.197042135071406,18.654484902275257,0.8367774958863518,11.67939953542513,379,95,28,11,24,G0002|G0006|G0013|G0015|G0017|G0020|G0025|G0026|G0032|G0033|G0034
13.151832879887301,18.436719186726144,0.8252587673387214,12.695987823644359,379,95,29,10,25,G0002|G0007|G0013|G0017|G0021|G0025|G0026|G0027|G0030|G0034
11.269680463749133,16.901139439895754,0.8511335707630576,10.963313732023963,379,95,30,9,26,G0002|G0007|G0015|G0017|G0019|G0026|G0030|G0032|G0034
10.354872797518555,15.219416938480835,0.8905567537431518,10.614386200314348,379,95,31,9,26,G0002|G0008|G0014|G0015|G0017|G0018|G0020|G0022|G0027
11.644753507484948,16.756482323646026,0.8298862859979528,12.170915142654062,379,95,32,9,26,G0002|G0009|G0010|G0017|G0022|G0025|G0026|G0028|G0032
14.223364555383874,17.94319796481037,0.8004393609211601,15.536814468951599,379,95,33,9,26,G0002|G0009|G0011|G0012|G0013|G0014|G0017|G0019|G0031
14.19474235236445,19.835557110945313,0.8245566656397,13.544829846784442,379,95,34,10,25,G0002|G0010|G0011|G0017|G0026|G0027|G0029|G0030|G0034|G0035
11.7358522696068,16.968422789906025,0.8654925848060127,10.586250547906372,379,95,35,11,24,G0002|G0010|G0012|G0013|G0014|G0017|G0029|G0031|G0032|G0033|G0034
13.640408029203,18.564652845429503,0.845862084714214,11.63623882105714,379,95,36,10,25,G0002|G0010|G0012|G0014|G0017|G0019|G0026|G0029|G0032|G0033
12.171146924326834,18.631091750512503,0.8454325802024818,10.516504413376312,379,95,37,11,24,G0002|G0010|G0013|G0014|G0023|G0025|G0027|G0028|G0033|G0034|G0035
