protocol,split_id,n_test,mae_xgb_um,mae_rf_um,delta_mae_um,mape_xgb_pct,mape_rf_pct,winner
R,0,95,8.6222013281585124,9.1858262527440377,-0.56362492458552538,8.6185785725160731,9.0598895404544209,XGB
R,1,95,7.7463432869740787,7.5906132399307182,0.15573004704336046,7.6586025389632191,7.7615179449540008,RF
R,2,95,9.4502042604755108,9.2609934024019562,0.18921085807355453,8.9581563740202252,9.0184378674657317,RF
R,3,95,10.041669067143522,10.135818262223003,-0.094149195079481274,9.1492660887873747,9.4012220697490605,XGB
R,4,95,9.7398401738256677,9.5389563662424415,0.20088380758322621,8.8871404407695795,9.1548514750639303,RF
R,5,95,7.612322805544907,7.7019723985003736,-0.089649592955466595,7.5594012654101848,8.2376247183018787,XGB
R,6,95,8.1837120606766618,7.8921141064983287,0.29159795417833312,7.9124728862803346,7.7193128408870635,RF
R,7,95,7.9566973619664347,8.8699287455143807,-0.91323138354794597,8.0625291167235194,8.9712226844715666,XGB
R,8,95,8.1686573228203354,7.7365200443729849,0.4321372784473505,7.5213651510878616,7.7437028210041285,RF
R,9,95,7.940587026526666,9.0663173660129548,-1.1257303394862888,7.8479094119411812,8.9332818647256946,XGB
R,10,95,7.9913366411667814,10.165736013514772,-2.1743993723479909,8.3153356631669286,10.353936565184647,XGB
R,11,95,8.5549816260878,9.7450391653236021,-1.1900575392358022,8.2852671057470619,10.195955504664164,XGB
R,12,95,8.1616188174828483,9.1544158953697501,-0.99279707788690175,7.7400913851925717,8.8972407660028363,XGB
R,13,95,9.0862774633530012,9.2730829930367751,-0.18680552968377384,8.0781444362802937,8.59403293362395,XGB
R,14,95,8.2344215740784126,9.1556718915143041,-0.92125031743589147,8.4032409302258753,9.6277928534939115,XGB
R,15,95,7.6930062110242154,9.2553745797577331,-1.5623683687335177,7.6086184061327984,9.459917770321649,XGB
R,16,95,8.1620609227887719,7.8672833213557292,0.29477760143304277,8.1183205294397265,8.3207532274217701,RF
