protocol,model,n_predictions,n_samples,n_groups,appearance_min,appearance_max,pooled_mae_um,sample_equal_mae_um,pooled_mape_pct,sample_equal_mape_pct,pooled_rmse_um,sample_equal_rmse_um
R,XGB,2500,125,5,13,32,4.2990929910449216,4.3462918178161569,4.2718904046180217,4.3069817452134673,5.4953122240735048,5.5410077897138423
R,RF,2500,125,5,13,32,5.9499367627999931,5.95000626824483,5.8726901285565623,5.8417149269633928,7.3475582028778454,7.3584490164343546
T,XGB,125,125,5,1,1,10.45392204790039,10.453922047900393,10.059955114890295,10.059955114890293,11.1881067824059,11.188106782405901
T,RF,125,125,5,1,1,9.7644368399999877,9.7644368399999859,9.2938664577756249,9.2938664577756267,10.683869266226575,10.683869266226575
