protocol,split_id,n_test,mae_xgb_um,mae_rf_um,delta_mae_um,mape_xgb_pct,mape_rf_pct,winner
R,0,25,3.2939533989257819,4.9327906799999823,-1.6388372810742005,2.9710836499558995,4.1167536560173552,XGB
R,1,25,4.3230492202148429,5.7981100399999761,-1.4750608197851331,3.9901763970355666,5.1575189013447611,XGB
R,2,25,3.2711183325195274,4.0440124799999992,-0.7728941474804718,2.9921411441553585,3.6932642228979788,XGB
R,3,25,5.4147941000976552,6.6174681999999772,-1.202674099902322,5.2585645180074208,6.656640561572492,XGB
R,4,25,4.3331694682617181,6.2392176000000212,-1.9060481317383031,4.0239211626528082,5.836318514081861,XGB
R,5,25,5.2554635471191409,6.3690714800000094,-1.1136079328808686,6.3530386086714028,7.3135197041156843,XGB
R,6,25,2.8223059418945309,4.6278001599999605,-1.8054942181054296,2.564173360480027,4.3569183662753641,XGB
R,7,25,3.1077316010742182,5.085148279999979,-1.9774166789257608,3.0019402913865876,4.6300431278538579,XGB
R,8,25,3.6183550175781214,6.3142448400000024,-2.695889822421881,3.3074118223869977,5.8062282147290345,XGB
R,9,25,5.4331399003906267,4.8131179199999705,0.62002198039065615,5.0756101224658758,4.1219950535969323,RF
R,10,25,3.3338161347656246,5.4681486399999919,-2.1343325052343673,3.2134279908566068,5.3828524737868761,XGB
R,11,25,4.7759764013671875,5.676160759999993,-0.90018435863280555,4.3530395217484896,5.2566942832448289,XGB
R,12,25,3.54443001074219,6.4130133200000152,-2.8685833092578252,3.2244511585372551,5.88615124543447,XGB
R,13,25,3.467958993164062,6.807767359999966,-3.339808366835904,3.383195418831983,6.1808415403441508,XGB
R,14,25,4.9498193312988263,6.5963785200000249,-1.6465591887011986,5.2081752760650888,7.352999357025249,XGB
R,15,25,4.9330739887695314,6.1758306000000038,-1.2427566112304724,5.6886143752647254,6.501300528068815,XGB
R,16,25,5.1352306054687498,5.3968818799999667,-0.26165127453121695,5.2001795774960362,5.7318470634033112,XGB
R,17,25,5.1356127924804671,6.7895083600000126,-1.6538955675195455,4.8340751969880555,6.2848941129283835,XGB
R,18,25,3.4884511730957026,5.7018217200000096,-2.213370546904307,3.7693000441309619,6.0557478566323448,XGB
R,19,25,4.5082889755859386,3.6102739599999687,0.89801501558596986,4.3402954224497385,3.7554822160535819,RF
R,20,25,4.5368124296874983,4.3921234000000204,0.14468902968747788,4.4405487476733878,4.798502887070093,RF
R,21,25,5.9740211254882816,6.6460802799999996,-0.67205915451171805,5.8857461841322571,6.9460997068700507,XGB
R,22,25,3.3616687807617205,4.4666952399999857,-1.1050264592382653,3.1745371642613396,4.6333550191614199,XGB
R,23,25,3.0717307866210954,4.99550392,-1.9237731333789045,3.4326977129045901,5.3031303287709921,XGB
R,24,25,5.1164943115234376,6.5206725199999696,-1.404178208476532,5.0593384306502349,5.9972432137929843,XGB
R,25,25,6.0080423789062483,7.3926766000000086,-1.3846342210937603,7.2912355639450128,9.3368451213103913,XGB
R,26,25,4.4653435625000011,5.1621734399999912,-0.69682987749999015,4.4399390574123627,5.0669705113731238,XGB
R,27,25,4.3788573691406256,4.8215273999999955,-0.44267003085936985,4.4443974748153092,4.3766565352180136,XGB
R,28,25,5.153324937499999,5.8849155600000085,-0.7315906225000095,6.0906637628654599,6.9010396288964442,XGB
R,29,25,3.5131879616699222,5.6041194399999608,-2.0909314783300386,3.1493448923258325,5.4751568031966062,XGB
R,30,25,3.8997863803710944,7.02717196000002,-3.1273855796289256,4.1144892986809225,7.5361678149804483,XGB
R,31,25,4.7503636333007808,6.9602651599999978,-2.209901526699217,4.5323379810057904,6.8079330229270445,XGB
R,32,25,3.3392646328125011,6.0406233599999952,-2.7013587271874941,3.1400969585765908,5.8841874175428668,XGB
R,33,25,4.4954481894531249,6.6692061599999981,-2.1737579705468733,4.1270551758287732,6.2918075073826607,XGB
R,34,25,4.3844871245117192,6.4120253599999897,-2.0275382354882705,4.2254208182657473,5.9825758051972988,XGB
R,35,25,3.503717759521483,5.0798125999999995,-1.5760948404785164,3.345666313432401,4.9517139627301558,XGB
R,36,25,3.7160520212402339,6.2106085600000096,-2.4945565387597757,3.5139512960370936,5.9001990029572866,XGB
R,37,25,4.5621404816894522,5.7837051199999658,-1.2215646383105137,5.1596725390417806,6.4424179255237677,XGB
R,38,25,4.4171242653808598,7.0410835599999677,-2.6239592946191079,4.5957613494601874,6.6387224211010114,XGB
R,39,25,4.6981115737304684,5.0199357999999821,-0.32182422626951368,5.1795760202379517,5.4015924891490599,XGB
R,40,25,3.9126354609374978,6.0696364399999423,-2.1570009790624445,4.0828180095072355,6.4081670269580764,XGB
R,41,25,5.102979846191408,7.2021288799999708,-2.0991490338085628,4.6790217649756638,6.9069768568918652,XGB
R,42,25,4.2505789970703125,5.5358992400000213,-1.2853202429297088,4.2891323239082837,5.8336327575516638,XGB
R,43,25,5.1364083769531241,7.4567464400000354,-2.3203380630469113,5.6685483226839004,8.0064685370973283,XGB
R,44,25,3.9446617858886714,5.8820800800000121,-1.9374182941113407,4.244992204158228,5.9039558594697663,XGB
R,45,25,4.733009091064452,6.0507425199999965,-1.3177334289355445,5.0640243176067665,6.3475262068046971,XGB
R,46,25,5.1553111396484361,6.275222399999989,-1.1199112603515529,4.924735986048935,5.8283857270009696,XGB
R,47,25,4.1453427387695312,6.7047993999999926,-2.5594566612304614,3.9352625715671881,6.5030928924809306,XGB
R,48,25,3.7762214545898427,6.2926930799999994,-2.5164716254101567,3.3215160597522964,5.6503545957501728,XGB
R,49,25,5.3117952177734367,7.5586485200000038,-2.2468533022265671,5.8740094370514431,8.1756054574315744,XGB
R,50,25,4.9699016035156243,6.8745916799999804,-1.9046900764843562,5.0685835704741748,6.8288380329385436,XGB
R,51,25,3.3960894768066408,5.4715840800000084,-2.0754946031933676,3.6650862768018722,5.6605386234663992,XGB
R,52,25,4.5370921572265619,5.9274494399999886,-1.3903572827734267,4.5817342192880055,6.2127863484571506,XGB
R,53,25,5.3337174687499989,7.7222815200000081,-2.3885640512500093,6.3868300513569931,8.8128201440654106,XGB
R,54,25,4.5301800268554659,6.7605753600000051,-2.2303953331445392,5.2226898166812825,7.3281467452005504,XGB
R,55,25,4.9988075463867201,7.154348559999991,-2.1555410136132709,4.839392911798396,7.0347208358430331,XGB
R,56,25,4.4548730629882813,5.868031760000024,-1.4131586970117427,3.496264368271921,4.6839984997036943,XGB
R,57,25,3.3951458378906243,5.5381692399999896,-2.1430234021093653,2.955759668910495,4.7051968500209753,XGB
R,58,25,3.3335733198242186,5.2010210799999959,-1.8674477601757773,3.1408034899676731,4.8825740860076339,XGB
R,59,25,5.209425670410158,6.6425554400000202,-1.4331297695898622,5.5588893124972252,7.2625229666451956,XGB
R,60,25,3.7096445126953133,5.3510012800000375,-1.6413567673047242,4.619126501505642,6.1391910702227861,XGB
R,61,25,4.3492965546875011,7.3668923600000156,-3.0175958053125145,3.5862197030136058,6.2005184553370007,XGB
R,62,25,4.0114879267578125,5.3536638800000125,-1.3421759532422,3.574733099342045,4.7551772374234176,XGB
R,63,25,4.6579886059570308,5.9849694799999922,-1.3269808740429614,4.7630940790203393,6.0590121411282665,XGB
R,64,25,2.4809653222656247,4.9936039599999837,-2.512638637734359,2.4047387896853754,4.9676250556154278,XGB
R,65,25,4.6305662221679711,5.99326211999999,-1.3626958978320189,4.0598656690718693,5.6235962128972607,XGB
R,66,25,4.1040694548339829,4.401450239999952,-0.29738078516596911,3.5690197192519326,3.8717723153490415,XGB
R,67,25,3.094778862304687,4.7174209599999806,-1.6226420976952936,2.9502818983910895,4.365105994047541,XGB
R,68,25,2.7227631342773453,5.4263048800000107,-2.7035417457226654,2.6069001138679897,5.1477390765204083,XGB
R,69,25,5.6647669819335942,6.0438110400000005,-0.37904405806640629,7.5052596812858976,7.9224099243096893,XGB
R,70,25,4.3074579907226545,6.2232823599999891,-1.9158243692773347,3.7806286324133849,5.8083417277411185,XGB
R,71,25,4.0289388681640617,6.3183713600000218,-2.2894324918359601,4.0790665088158979,6.2802648208035636,XGB
R,72,25,5.8769013354492179,7.4034524000000097,-1.5265510645507918,4.8784331968726038,6.2963650027327347,XGB
R,73,25,4.5882179536132819,6.6167111999999859,-2.028493246386704,4.6427910307392368,6.577685716255818,XGB
