protocol,model,n_predictions,n_samples,n_groups,appearance_min,appearance_max,pooled_mae_um,sample_equal_mae_um,pooled_mape_pct,sample_equal_mape_pct,pooled_rmse_um,sample_equal_rmse_um
R,XGB,9500,474,35,7,32,8.2868912744428389,8.3199943045944327,8.1303141507380747,8.1609108288175456,12.560531570542823,12.680219577859965
R,RF,9500,474,35,7,32,8.7356037388471943,8.7809957550142972,8.9030361145247028,8.9271142950868434,12.794414734787608,12.909426917067567
R,MLP,9500,474,35,7,32,10.072722002505989,10.060181072022328,10.843060044616474,10.778422758123247,13.898888263174381,13.954047223256358
G,XGB,9500,474,35,2,53,12.218436075531313,11.346603532532605,11.78425556506426,11.867627162736854,17.242766676711078,16.008281262077926
G,RF,9500,474,35,2,53,11.423409061694548,10.518764617742281,10.912411356342801,10.849935162110418,16.160086114945955,14.975339820739125
G,MLP,9500,474,35,2,53,19.344491504180002,18.226344979010644,19.510542879239029,19.650455154836422,25.45142467782798,24.209128193751699
